Player,Nation,Position,Team,Age,Weekly,Annual
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,22,30531,1587628
Jota Silva,POR,"FW,MF",Nott'ham Forest,24,30531,1587628
Jorge Cuenca,ESP,DF,Fulham,24,30531,1587628
Jaidon Anthony,ENG,"FW,MF",Bournemouth,24,32727,1701801
Isaac Hayden,ENG,DM,Newcastle Utd,29,26868,1397113
Antonín Kinský,,GK,Tottenham,21,26849,1396151
Nayef Aguerd,MAR,,West Ham,28,26849,1396151
Abdukodir Khusanov,,CB,Manchester City,20,26849,1396151
Bashir Humphreys,,CB,Chelsea,21,26849,1396151
Carlos Alcaraz,ARG,"FW,MF",Everton,21,26849,1396151
Kobbie Mainoo,,CM,Manchester Utd,19,24425,1270102
Gavin Bazunu,IRL,GK,Southampton,22,24425,1270102
Kyle Walker-Peters,ENG,DF,Southampton,27,24425,1270102
Mateus Fernandes,,CM,Southampton,20,24425,1270102
Ross Stewart,SCO,FW,Southampton,28,24425,1270102
Mark Travers,IRL,GK,Bournemouth,25,24425,1270102
Jean-Clair Todibo,FRA,DF,West Ham,24,24425,1270102
Kosta Nedeljkovic,,RB,Aston Villa,18,24425,1270102
Carlos Forbs,,LW,Wolves,20,24425,1270102
Daniel Bentley,ENG,GK,Wolves,31,24425,1270102
Daniel Iversen,DEN,GK,Leicester City,27,24425,1270102
William Osula,,CF,Newcastle Utd,21,24425,1270102
Christian Walton,ENG,GK,Ipswich Town,28,24425,1270102
Liam Delap,,CF,Ipswich Town,21,24425,1270102
Mads Roerslev,DEN,DF,Brentford,25,24425,1270102
Sepp van den Berg,NED,DF,Brentford,22,24425,1270102
Jason Steele,ENG,GK,Brighton,33,24425,1270102
Tim Iroegbunam,,CM,Everton,21,24425,1270102
Issa Kaboré,BFA,"DF,MF",Manchester City,23,26182,1361441
Jeremy Sarmiento,ECU,MF,Brighton,22,26182,1361441
Albert Grønbaek,,CM,Southampton,23,24164,1256536
Chido Obi-Martin,,CF,Manchester Utd,17,20137,1047113
Welington,BRA,"DF,MF",Southampton,23,20137,1047113
Romain Esse,,AM,Crystal Palace,19,20137,1047113
Hamed Junior Traorè,CIV,"FW,MF",Bournemouth,24,20137,1047113
Julio Soler,,LB,Bournemouth,19,20137,1047113
Andrés García,,RB,Aston Villa,21,20137,1047113
Enzo Barrenechea,,,Aston Villa,23,20137,1047113
Ki-Jana Hoever,NED,,Wolves,23,20137,1047113
Nasser Djiga,BFA,DF,Wolves,21,20137,1047113
Woyo Coulibaly,FRA,DF,Leicester City,25,20137,1047113
Julio Enciso,PAR,"MF,FW",Ipswich Town,20,20137,1047113
Christian McFarlane,,LB,Manchester City,18,20137,1047113
Claudio Echeverri,,AM,Manchester City,19,20137,1047113
Aarón Anselmino,,CB,Chelsea,19,20137,1047113
Andrey Santos,,,Chelsea,20,20137,1047113
Eiran Cashin,IRL,DF,Brighton,22,20137,1047113
Armel Bella Kotchap,GER,DF,Southampton,22,18319,952577
Juan Larios,,LB,Southampton,21,18319,952577
Nathan Wood,,CB,Southampton,22,18319,952577
Ronnie Edwards,ENG,DF,Southampton,21,18319,952577
Ryan Manning,IRL,"DF,MF",Southampton,28,18319,952577
Samuel Edozie,,LW,Southampton,22,18319,952577
Brandon Austin,ENG,GK,Tottenham,25,18319,952577
Lucas Bergvall,,AM,Tottenham,18,18319,952577
Enes Ünal,TUR,"FW,MF",Bournemouth,27,18319,952577
Wes Foderingham,ENG,GK,West Ham,33,18319,952577
Curtis Jones,ENG,"MF,DF",Liverpool,23,18319,952577
Jørgen Strand Larsen,NOR,FW,Wolves,24,18319,952577
Luke Cundle,ENG,MF,Wolves,22,18319,952577
Pedro Lima,,RB,Wolves,18,18319,952577
Kasey McAteer,IRL,"FW,MF",Leicester City,22,18319,952577
Luke Thomas,ENG,DF,Leicester City,23,18319,952577
Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,18319,952577
Conor Townsend,ENG,DF,Ipswich Town,31,18319,952577
James McAtee,,CM,Manchester City,21,18319,952577
Jayden Meghoma,,LB,Brentford,18,18319,952577
Yunus Emre Konak,,DM,Brentford,19,18319,952577
Carlos Miguel,BRA,GK,Nott'ham Forest,25,18319,952577
Ashley Phillips,,CB,Tottenham,19,19636,1021080
Ben Doak,,RW,Liverpool,19,19636,1021080
Lewis O'Brien,ENG,CM,Nott'ham Forest,26,19636,1021080
Enso González,,LW,Wolves,19,15266,793814
Carlos Baleba,,DM,Brighton,21,15266,793814
Simon Adingra,CIV,"FW,MF",Brighton,22,15266,793814
Luke Harris,,AM,Fulham,19,16363,850900
Alex Palmer,ENG,GK,Ipswich Town,27,16109,837690
Naouirou Ahamada,FRA,MF,Crystal Palace,22,13425,698075
Michael Olakigbe,,RW,Brentford,20,13425,698075
Valentín Barco,ARG,MF,Brighton,20,13425,698075
Wayne Hennessey,WAL,GK,Nott'ham Forest,37,13425,698075
James Bree,ENG,DF,Southampton,26,12213,635051
Joe Lumley,ENG,GK,Southampton,29,12213,635051
Caoimhín Kelleher,IRL,GK,Liverpool,25,12213,635051
Conor Bradley,NIR,DF,Liverpool,21,12213,635051
Joe Gauci,,GK,Aston Villa,24,12213,635051
Kortney Hause,ENG,CB,Aston Villa,29,12213,635051
Rayan Aït-Nouri,ALG,DF,Wolves,23,12213,635051
Tom King,WAL,GK,Wolves,29,12213,635051
Tommy Doyle,ENG,MF,Wolves,22,12213,635051
Issahaku Fatawu,,RW,Leicester City,20,12213,635051
Jakub Stolarczyk,,GK,Leicester City,24,12213,635051
Mads Hermansen,,GK,Leicester City,24,12213,635051
Stephy Mavididi,ENG,FW,Leicester City,26,12213,635051
Mark Gillespie,ENG,GK,Newcastle Utd,32,12213,635051
Ali Al Hamadi,IRQ,FW,Ipswich Town,22,12213,635051
Harry Clarke,,RB,Ipswich Town,23,12213,635051
Jack Taylor,IRL,MF,Ipswich Town,26,12213,635051
Massimo Luongo,AUS,MF,Ipswich Town,31,12213,635051
Wes Burns,WAL,"FW,DF",Ipswich Town,29,12213,635051
Hákon Rafn Valdimarsson,,GK,Brentford,22,12213,635051
Kevin Schade,GER,FW,Brentford,22,12213,635051
Jack Hinshelwood,,RB,Brighton,19,12213,635051
Jakub Moder,POL,MF,Brighton,25,12213,635051
Steven Benda,GER,GK,Fulham,25,12213,635051
Joe Whitworth,,GK,Crystal Palace,20,13091,680720
Callum Marshall,,CF,West Ham,20,13091,680720
Rhys Williams,ENG,CB,Liverpool,24,13091,680720
Kaine Kesler,,RB,Aston Villa,22,13091,680720
Lino Sousa,,LB,Aston Villa,20,13091,680720
Hugo Bueno,,LB,Wolves,22,13091,680720
Harrison Ashby,,RB,Newcastle Utd,23,13091,680720
Tom McGill,,GK,Brighton,25,13091,680720
Jonathan Panzo,ENG,CB,Nott'ham Forest,24,13091,680720
Ethan Wheatley,,CF,Manchester Utd,19,12082,628268
Joachim Kayi Sanda,,CB,Southampton,18,10740,558460
Tyler Morton,,DM,Liverpool,22,10740,558460
Lamare Bogarde,,CB,Aston Villa,21,9770,508041
Bastien Meupiyou,,CB,Wolves,18,9770,508041
Yerson Mosquera,COL,DF,Wolves,23,9770,508041
Michael Golding,,CM,Leicester City,18,9770,508041
John Ruddy,ENG,GK,Newcastle Utd,37,9770,508041
Cameron Burgess,AUS,DF,Ipswich Town,28,9770,508041
Yasin Ayari,,CM,Brighton,21,9770,508041
Eric da Silva Moreira,,RW,Nott'ham Forest,18,9770,508041
Joe Rothwell,ENG,CM,Bournemouth,30,10473,544576
Kuryu Matsuki,,AM,Southampton,21,10068,523557
Dane Scarlett,,CF,Tottenham,20,10068,523557
Tayo Adaramola,,LB,Crystal Palace,21,10068,523557
Tommi O'Reilly,,AM,Aston Villa,21,10068,523557
Luke Mbete,,CB,Manchester City,21,10068,523557
Tyrique George,,LW,Chelsea,19,10068,523557
Taylor Harwood-Bellis,ENG,DF,Southampton,22,9159,476288
Alfie Whiteman,ENG,GK,Tottenham,25,9159,476288
Remi Matthews,ENG,GK,Crystal Palace,30,9159,476288
Luke Woolfenden,ENG,DF,Ipswich Town,25,9159,476288
Cesare Casadei,,CM,Chelsea,21,9159,476288
Lucas Bergström,FIN,GK,Chelsea,21,9159,476288
João Virgínia,POR,GK,Everton,24,9159,476288
Rodrigo Muniz,BRA,FW,Fulham,23,9159,476288
Jesurun Rak-Sakyi,,RW,Crystal Palace,22,9818,510540
Vitezslav Jaros,,GK,Liverpool,23,8549,444536
Lewis Hall,,LB,Newcastle Utd,20,8549,444536
Josh Wilson-Esbrand,,LB,Manchester City,21,8549,444536
Matthew Cox,,GK,Brentford,21,8549,444536
Marcus Harness,ENG,MF,Ipswich Town,28,8308,431996
Ethan Nwaneri,,AM,Arsenal,17,8055,418845
Jahmai Simpson-Pusey,,CB,Manchester City,19,8055,418845
Ellery Balcombe,ENG,GK,Brentford,25,8055,418845
Leo Castledine,,AM,Chelsea,19,8055,418845
Nathan Broadhead,WAL,"MF,FW",Ipswich Town,26,7328,381031
Omari Hutchinson,,RW,Ipswich Town,21,7328,381031
Shea Charles,,DM,Southampton,21,7854,408432
Joe Hugill,,CF,Manchester Utd,21,7383,383941
Harry Amass,,LB,Manchester Utd,17,6712,349038
Tyler Fredricson,,CB,Manchester Utd,20,6712,349038
Mikey Moore,,LW,Tottenham,17,6712,349038
Min-hyeok Yang,,RW,Tottenham,18,6712,349038
Caleb Kporha,,RB,Crystal Palace,18,6712,349038
Daniel Jebbison,ENG,FW,Bournemouth,20,6712,349038
Calvin Ramsay,SCO,RB,Liverpool,21,6712,349038
Nigel Lonwijk,NED,CB,Wolves,22,6712,349038
Daniel Gore,,CM,Manchester Utd,19,6106,317526
Toby Collyer,,DM,Manchester Utd,20,6106,317526
Samuel Amo-Ameyaw,,RW,Southampton,18,6106,317526
Tyler Dibling,,RW,Southampton,18,6106,317526
Louie Moulden,ENG,GK,Crystal Palace,22,6106,317526
James Hill,ENG,DF,Bournemouth,22,6106,317526
Andy Irving,SCO,MF,West Ham,24,6106,317526
Garang Kuol,,LW,Newcastle Utd,19,6106,317526
Lewis Miley,,CM,Newcastle Utd,18,6106,317526
Ji-soo Kim,,CB,Brentford,19,6106,317526
Yegor Yarmolyuk,,AM,Brentford,20,6106,317526
Josh Acheampong,,RB,Chelsea,18,6106,317526
Ed Turns,,CB,Brighton,21,6106,317526
Joe Hodge,,DM,Wolves,22,6545,340360
Myles Peart-Harris,ENG,MF,Brentford,21,6545,340360
Myles Lewis-Skelly,,LB,Arsenal,18,5370,279230
Ayden Heaven,,CB,Manchester Utd,18,5370,279230
Luke Plange,ENG,CF,Crystal Palace,22,5370,279230
Matai Akinmboni,USA,DF,Bournemouth,17,5370,279230
Mahamadou Susoho,,DM,Manchester City,20,5370,279230
Billy Crellin,,GK,Everton,24,5370,279230
Teddy Sharman-Lowe,,GK,Chelsea,21,5101,265269
Jimmy-Jay Morgan,,CF,Chelsea,19,4699,244326
Dom Ballard,,CF,Southampton,19,4027,209423
Jamie Donley,,SS,Tottenham,20,4027,209423
Justin Devenny,,CM,Crystal Palace,21,4027,209423
Kaden Rodney,,DM,Crystal Palace,20,4027,209423
Harvey Davies,,GK,Liverpool,21,4027,209423
Josh Feeney,,CB,Aston Villa,19,4027,209423
Louie Barry,ENG,LW,Aston Villa,21,4027,209423
Dexter Lembikisa,,RB,Wolves,21,4027,209423
Callum Doyle,ENG,CB,Manchester City,21,4027,209423
Amario Cozier-Duberry,,RW,Brighton,19,4027,209423
Samy Chouchane,,CM,Brighton,21,4027,209423
Stefanos Tzimas,,CF,Brighton,19,4027,209423
Martial Godo,,LW,Fulham,21,4027,209423
Alex Murphy,,LB,Newcastle Utd,20,3664,190515
Cieran Slicker,,GK,Ipswich Town,21,3664,190515
Paris Maghoma,,CM,Brentford,23,3664,190515
Imari Samuels,ENG,DF,Brighton,21,3664,190515
Killian Cahill,,GK,Brighton,20,3664,190515
Zach Abbott,,CB,Nott'ham Forest,18,3664,190515
Carl Rushworth,ENG,GK,Brighton,23,3927,204216
Will Lankshear,,CF,Tottenham,19,3356,174519
Kaelan Casey,,CB,West Ham,20,3356,174519
Kaide Gordon,,RW,Liverpool,20,3356,174519
Ben Nelson,,CB,Leicester City,20,3356,174519
Finley Burns,ENG,CB,Manchester City,21,3356,174519
Alex Matos,,CM,Chelsea,20,3356,174519
Ryan Trevitt,,CM,Brentford,21,3053,158763
Chem Campbell,WAL,AM,Wolves,22,3273,170180
Dominic Corness,,DM,Liverpool,21,3021,157067
Val Adedokun,,LB,Brentford,21,3021,157067
Luca Barrington,,LW,Brighton,20,3021,157067
Franco Umeh-Chibueze,,RW,Crystal Palace,20,2685,139615
Max Kinsey,,CB,Bournemouth,20,2685,139615
Silko Thomas,,RW,Leicester City,20,2685,139615
Joe White,ENG,AM,Newcastle Utd,22,2685,139615
Jadel Katongo,,CB,Manchester City,20,2685,139615
Caleb Wiley,USA,LB,Chelsea,20,2685,139615
Dylan Williams,,LB,Chelsea,21,2685,139615
Kamari Doyle,,AM,Brighton,19,2685,139615
Odeluga Offiah,,RB,Brighton,22,2685,139615
Josh King,,CM,Fulham,18,2685,139615
Will Dennis,ENG,GK,Bournemouth,24,2443,127010
Will Dickson,,CF,Manchester City,20,2416,125654
Rhys Bennett,,CB,Manchester Utd,21,2349,122163
Owen Goodman,,GK,Crystal Palace,21,2014,104711
Freddie Potts,,DM,West Ham,21,2014,104711
Mohamadou Kanté,,CM,West Ham,19,2014,104711
Travis Patterson,,LB,Aston Villa,19,2014,104711
Francis Okoronkwo,,CF,Everton,20,2014,104711
Dale Taylor,,CF,Nott'ham Forest,21,2014,104711
Elkan Baggott,,CB,Ipswich Town,22,1964,102108
Sam Mather,,LW,Manchester Utd,20,1342,69808
Patrick Kelly,,DM,West Ham,20,1342,69808
Charlie McArthur,,CB,Newcastle Utd,19,1342,69808
Max Thompson,,GK,Newcastle Utd,20,1342,69808
Cameron Humphreys,,CM,Ipswich Town,21,1309,68072
George Abbott,,DM,Tottenham,19,1007,52356
Rico Richards,ENG,AM,Aston Villa,21,1007,52356
Kobei Moore,,CF,Aston Villa,20,805,41885
Luca Stephenson,,DM,Liverpool,21,537,27923
