name,nation,position,team,age,born,played,starts,minutes,goals,assists,penalty_kicks,penalty_kick_attempts,yellow,red,expected_goals,progressive_carries,progressive_passes,received_progressive_passes
Taylor Harwood-Bellis,England,DF,Southampton,23.0,2002.0,34,32,2825,1,0,0,0,9,0,1.8,29,125,9
Kai Havertz,Germany,"FW,MF",Arsenal,25.0,1999.0,22,21,1854,9,3,0,0,5,0,9.4,35,60,110
Ayden Heaven,England,DF,Manchester Utd,18.0,2006.0,3,1,105,0,0,0,0,1,0,0.0,1,2,1
Jan Paul van Hecke,Netherlands,DF,Brighton,24.0,2000.0,33,32,2868,1,1,0,0,8,1,1.3,55,221,5
Hwang Hee-chan,Korea Republic,"MF,FW",Wolves,29.0,1996.0,21,5,661,2,0,0,0,0,0,0.8,15,12,42
Dean Henderson,England,GK,Crystal Palace,28.0,1997.0,37,37,3330,0,0,0,0,3,0,0.0,0,0,0
Rico Henry,England,DF,Brentford,27.0,1997.0,5,0,99,0,0,0,0,0,0,0.0,0,4,5
Mads Hermansen,Denmark,GK,Leicester City,24.0,2000.0,27,27,2385,0,0,0,0,1,0,0.0,0,1,0
Son Heung-min,Korea Republic,FW,Tottenham,32.0,1992.0,30,24,2110,7,9,1,2,1,0,7.2,96,111,265
James Hill,England,DF,Bournemouth,23.0,2002.0,10,6,448,0,1,0,0,1,0,0.3,3,16,8
Jack Hinshelwood,England,"DF,MF",Brighton,20.0,2005.0,25,21,1752,3,2,0,0,5,0,2.1,19,65,49
George Hirst,Scotland,FW,Ipswich Town,26.0,1999.0,25,4,592,3,1,0,0,3,0,2.1,9,13,31
Mason Holgate,England,"FW,DF",Everton,28.0,1996.0,1,0,6,0,0,0,0,0,0,0.0,0,0,0
Harry Howell,England,FW,Brighton,16.0,2008.0,1,0,7,0,0,0,0,0,0,0.0,0,0,3
Callum Hudson-Odoi,England,"FW,MF",Nott'ham Forest,24.0,2000.0,30,25,2160,5,2,0,0,2,0,2.5,127,66,187
Will Hughes,England,MF,Crystal Palace,30.0,1995.0,32,23,2030,0,3,0,0,11,0,1.1,19,86,27
Dean Huijsen,Spain,DF,Bournemouth,20.0,2005.0,31,26,2414,3,1,0,0,10,0,1.9,41,132,10
Omari Hutchinson,England,"MF,FW",Ipswich Town,21.0,2003.0,30,29,2493,3,2,0,0,5,0,2.7,89,72,151
Rasmus Højlund,Denmark,FW,Manchester Utd,22.0,2003.0,31,22,1924,4,0,0,0,2,0,5.2,27,17,98
Igor,Brazil,DF,Brighton,27.0,1998.0,12,9,903,0,0,0,0,4,0,0.0,9,44,0
Danny Ings,England,"FW,MF",West Ham,32.0,1992.0,15,1,284,1,2,0,0,0,0,2.3,6,5,29
Tim Iroegbunam,England,MF,Everton,21.0,2003.0,18,5,574,0,1,0,0,4,0,0.2,8,15,9
Andy Irving,Scotland,MF,West Ham,25.0,2000.0,10,1,166,0,0,0,0,2,0,0.1,0,9,4
Alexander Isak,Sweden,FW,Newcastle Utd,25.0,1999.0,33,33,2666,23,6,4,4,1,0,20.2,82,84,206
Alex Iwobi,Nigeria,"FW,MF",Fulham,29.0,1996.0,37,35,2951,9,6,0,0,1,0,4.7,141,208,237
Nicolas Jackson,Senegal,FW,Chelsea,23.0,2001.0,30,28,2220,10,5,0,0,7,1,12.3,47,38,129
Reece James,England,"DF,MF",Chelsea,25.0,1999.0,18,11,973,1,1,0,0,1,0,0.4,7,58,12
Vitaly Janelt,Germany,MF,Brentford,27.0,1998.0,32,27,2254,1,3,0,0,3,0,0.8,17,80,38
Vitezslav Jaros,Czech Republic,GK,Liverpool,23.0,2001.0,1,0,12,0,0,0,0,0,0,0.0,0,0,0
Daniel Jebbison,England,FW,Bournemouth,21.0,2003.0,15,0,91,1,0,0,0,1,0,1.0,3,3,12
Mathias Jensen,Denmark,MF,Brentford,29.0,1996.0,23,8,851,0,2,0,0,2,0,0.2,6,60,26
Gabriel Jesus,Brazil,FW,Arsenal,28.0,1997.0,17,6,608,3,0,0,0,4,0,3.0,15,19,57
Raúl Jiménez,Mexico,FW,Fulham,34.0,1991.0,37,29,2404,12,3,3,3,4,0,11.7,35,61,124
Kim Jisoo,Korea Republic,DF,Brentford,20.0,2004.0,3,0,30,0,0,0,0,0,0,0.0,0,2,0
João Pedro,Brazil,"FW,MF",Brighton,23.0,2001.0,27,23,1948,10,6,5,5,4,1,8.9,66,78,128
Joelinton,Brazil,"MF,FW",Newcastle Utd,28.0,1996.0,29,29,2393,4,3,0,0,10,0,3.9,40,116,110
Ben Johnson,England,"DF,FW",Ipswich Town,25.0,2000.0,23,14,1354,1,2,0,0,5,1,1.1,16,27,33
Brennan Johnson,Wales,FW,Tottenham,24.0,2001.0,32,23,2087,11,3,0,0,5,0,9.8,58,70,196
Sam Johnstone,England,GK,Wolves,32.0,1993.0,7,7,630,0,0,0,0,0,0,0.0,0,0,0
Curtis Jones,England,"MF,DF",Liverpool,24.0,2001.0,32,18,1621,3,3,0,0,3,1,4.3,28,104,76
Jorginho,Italy,MF,Arsenal,33.0,1991.0,15,9,704,0,0,0,0,5,0,0.1,12,48,6
Diogo Jota,Portugal,FW,Liverpool,28.0,1996.0,25,14,1166,6,3,0,0,2,0,7.6,37,33,87
James Justin,England,DF,Leicester City,27.0,1998.0,35,33,2822,2,2,0,0,6,0,1.5,39,90,95
Filip Jørgensen,Denmark,GK,Chelsea,23.0,2002.0,6,6,540,0,0,0,0,0,0,0.0,0,0,0
Ferdi Kadioglu,Turkey,"DF,MF",Brighton,25.0,1999.0,6,5,385,1,0,0,0,1,0,0.4,1,15,27
Daichi Kamada,Japan,MF,Crystal Palace,28.0,1996.0,33,14,1474,0,0,0,0,4,1,1.1,24,84,54
Boubacar Kamara,France,MF,Aston Villa,25.0,1999.0,25,19,1643,1,0,0,0,2,0,0.8,18,84,7
Joachim Kayi Sanda,France,DF,Southampton,18.0,2006.0,1,0,9,0,0,0,0,0,0,0.0,0,1,0
Michael Kayode,Italy,DF,Brentford,20.0,2004.0,11,5,443,0,1,0,0,2,0,0.2,12,10,22
Michael Keane,England,DF,Everton,32.0,1993.0,13,10,959,3,0,0,0,5,0,0.6,1,13,3
Caoimhín Kelleher,Republic of Ireland,GK,Liverpool,26.0,1998.0,10,10,900,0,0,0,0,0,0,0.0,0,0,0
Lloyd Kelly,England,DF,Newcastle Utd,26.0,1998.0,10,4,303,0,1,0,0,2,0,0.4,0,9,5
Milos Kerkez,Hungary,DF,Bournemouth,21.0,2003.0,37,37,3246,2,5,0,0,4,0,0.5,101,154,187
Bilal El Khannouss,Morocco,"MF,FW",Leicester City,21.0,2004.0,32,27,2182,2,3,0,0,4,0,1.3,73,128,89
Abdukodir Khusanov,Uzbekistan,DF,Manchester City,21.0,2004.0,6,6,503,0,0,0,0,1,0,0.0,1,25,2
Max Kilman,England,DF,West Ham,28.0,1997.0,37,37,3258,0,1,0,0,4,0,1.6,30,112,6
Joshua King,England,MF,Fulham,18.0,2007.0,7,1,113,0,0,0,0,0,0,0.2,3,7,15
Antonín Kinský,Czech Republic,GK,Tottenham,22.0,2003.0,6,6,540,0,0,0,0,0,0,0.0,1,1,0
Jakub Kiwior,Poland,DF,Arsenal,25.0,2000.0,16,9,1032,1,0,0,0,1,0,0.2,5,44,1
Justin Kluivert,Netherlands,"MF,FW",Bournemouth,26.0,1999.0,33,28,2251,12,6,6,6,8,0,10.3,78,101,164
Ibrahima Konaté,France,DF,Liverpool,26.0,1999.0,30,29,2500,1,2,0,0,5,0,1.7,21,109,3
Ezri Konsa,England,DF,Aston Villa,27.0,1997.0,33,32,2846,2,0,0,0,1,0,1.3,24,90,11
Mateo Kovačić,Croatia,MF,Manchester City,31.0,1994.0,31,25,2198,6,2,0,0,5,1,1.9,56,164,16
Caleb Kporha,England,DF,Crystal Palace,18.0,2006.0,2,0,13,0,0,0,0,0,0,0.0,1,0,0
Emil Krafth,Sweden,DF,Newcastle Utd,30.0,1994.0,12,2,342,0,0,0,0,2,0,0.0,5,8,3
Mohammed Kudus,Ghana,"FW,MF",West Ham,24.0,2000.0,31,31,2571,4,3,0,0,2,1,6.8,97,78,214
Dejan Kulusevski,Sweden,"MF,FW",Tottenham,25.0,2000.0,32,27,2389,7,4,0,0,3,0,4.2,120,124,210
Maxence Lacroix,France,DF,Crystal Palace,25.0,2000.0,34,34,3026,1,1,0,0,5,0,3.4,8,65,7
Adam Lallana,England,MF,Southampton,37.0,1988.0,14,5,361,0,2,0,0,4,0,0.2,6,24,10
Tariq Lamptey,Ghana,DF,Brighton,24.0,2000.0,15,10,860,2,2,0,0,0,0,0.4,32,14,45
Will Lankshear,England,"FW,MF",Tottenham,20.0,2005.0,3,0,11,0,0,0,0,0,0,0.0,0,0,1
Roméo Lavia,Belgium,MF,Chelsea,21.0,2004.0,15,11,768,0,1,0,0,4,0,0.2,3,31,7
Mario Lemina,Gabon,"MF,DF",Wolves,31.0,1993.0,17,15,1364,1,3,0,0,4,0,1.4,8,48,21
Bernd Leno,Germany,GK,Fulham,33.0,1992.0,37,37,3330,0,1,0,0,5,0,0.0,0,0,0
Jefferson Lerma,Colombia,"MF,DF",Crystal Palace,30.0,1994.0,32,25,2184,0,1,0,0,9,0,1.1,12,96,26
Rico Lewis,England,"DF,MF",Manchester City,20.0,2004.0,28,21,1893,1,2,0,0,5,1,1.4,39,107,78
Keane Lewis-Potter,England,"DF,FW",Brentford,24.0,2001.0,37,35,3003,1,3,0,0,7,0,2.6,94,93,151
Myles Lewis-Skelly,England,DF,Arsenal,18.0,2006.0,22,15,1348,1,0,0,0,3,2,0.2,35,69,37
Matthijs de Ligt,Netherlands,DF,Manchester Utd,25.0,1999.0,29,25,2123,2,0,0,0,3,0,2.5,7,55,6
Pedro Lima,Brazil,DF,Wolves,18.0,2006.0,3,1,70,0,0,0,0,0,0,0.1,4,4,11
Victor Lindelöf,Sweden,DF,Manchester Utd,30.0,1994.0,15,5,614,0,0,0,0,1,0,0.0,2,19,3
Jesper Lindstrøm,Denmark,FW,Everton,25.0,2000.0,25,15,1239,0,1,0,0,2,0,2.1,30,25,81
Valentino Livramento,England,DF,Newcastle Utd,22.0,2002.0,36,31,2750,0,1,0,0,1,0,0.3,80,153,112
Sean Longstaff,England,MF,Newcastle Utd,27.0,1997.0,25,8,798,0,0,0,0,2,0,0.6,4,40,22
Saša Lukić,Serbia,MF,Fulham,28.0,1996.0,29,27,2259,0,2,0,0,12,0,1.2,39,94,31
Joe Lumley,England,GK,Southampton,30.0,1995.0,3,3,270,0,0,0,0,0,0,0.0,0,0,0
Massimo Luongo,Australia,MF,Ipswich Town,32.0,1992.0,10,2,198,0,0,0,0,0,0,0.0,0,5,1
Ian Maatsen,Netherlands,DF,Aston Villa,23.0,2002.0,28,9,1049,1,2,0,0,2,0,0.9,30,48,103
Alexis Mac Allister,Argentina,MF,Liverpool,26.0,1998.0,35,30,2599,5,5,0,0,6,0,2.8,36,177,80
James Maddison,England,MF,Tottenham,28.0,1996.0,31,21,1809,9,7,0,0,6,0,5.8,45,164,95
Noni Madueke,England,FW,Chelsea,23.0,2002.0,31,26,1948,7,3,0,0,3,0,9.6,150,68,222
Gabriel Magalhães,Brazil,DF,Arsenal,27.0,1997.0,28,28,2363,3,1,0,0,4,0,2.6,10,126,11
Edmond-Paris Maghoma,England,"MF,FW",Brentford,24.0,2001.0,8,0,119,0,0,0,0,0,0,0.1,4,13,4
Harry Maguire,England,DF,Manchester Utd,32.0,1993.0,26,18,1668,1,0,0,0,7,0,1.8,7,48,7
Kobbie Mainoo,England,MF,Manchester Utd,20.0,2005.0,24,19,1606,0,0,0,0,5,0,0.7,22,64,45
Tyrell Malacia,Netherlands,DF,Manchester Utd,25.0,1999.0,3,2,100,0,0,0,0,1,0,0.0,3,3,6
Donyell Malen,Netherlands,FW,Aston Villa,26.0,1999.0,13,2,298,3,0,0,0,0,0,2.2,11,5,26
Mateus Mane,,MF,Wolves,,,1,0,2,0,0,0,0,0,0,0.0,0,0,0
Orel Mangala,Belgium,MF,Everton,27.0,1998.0,19,14,1261,1,0,0,0,2,0,1.1,6,34,19
Ryan Manning,Republic of Ireland,"DF,MF",Southampton,28.0,1996.0,24,18,1462,0,1,0,0,2,0,0.3,14,35,74
Solly March,England,"FW,MF",Brighton,30.0,1994.0,8,1,168,0,0,0,0,2,0,0.1,5,2,20
Omar Marmoush,Egypt,"FW,MF",Manchester City,26.0,1999.0,15,13,1094,7,0,0,0,0,0,5.1,25,34,74
Gabriel Martinelli,Brazil,"FW,MF",Arsenal,23.0,2001.0,32,24,2221,8,4,0,0,1,0,6.5,120,49,281
Emiliano Martínez,Argentina,GK,Aston Villa,32.0,1992.0,36,36,3150,0,0,0,0,5,0,0.0,0,4,0
Lisandro Martínez,Argentina,DF,Manchester Utd,27.0,1998.0,20,20,1751,2,1,0,0,7,0,1.3,23,117,7
Pape Matar Sarr,Senegal,MF,Tottenham,22.0,2002.0,35,21,1868,3,2,0,0,6,0,3.7,32,87,52
Jean-Philippe Mateta,France,FW,Crystal Palace,27.0,1997.0,36,32,2587,14,2,2,2,2,0,12.9,43,52,121
Stephy Mavididi,England,FW,Leicester City,26.0,1998.0,30,16,1615,4,1,0,0,2,0,1.8,91,57,138
Konstantinos Mavropanos,Greece,DF,West Ham,27.0,1997.0,32,20,1955,0,0,0,0,6,1,1.5,16,61,2
Noussair Mazraoui,Morocco,DF,Manchester Utd,27.0,1997.0,36,33,2819,0,1,0,0,3,0,0.7,42,113,54
Bryan Mbeumo,Cameroon,FW,Brentford,25.0,1999.0,37,37,3324,19,7,5,6,3,0,12.0,126,138,343
James Mcatee,England,"MF,FW",Manchester City,22.0,2002.0,15,3,349,3,0,0,0,1,0,2.8,7,7,32
Kasey McAteer,Republic of Ireland,"FW,MF",Leicester City,23.0,2001.0,17,8,767,1,1,0,0,3,0,1.0,18,13,69
Alex McCarthy,England,GK,Southampton,35.0,1989.0,5,5,450,0,0,0,0,0,0,0.0,0,0,0
John McGinn,Scotland,"MF,FW",Aston Villa,30.0,1994.0,33,26,2162,1,4,0,0,7,0,3.0,32,103,84
Dwight McNeil,England,"MF,FW",Everton,25.0,1999.0,20,15,1356,4,6,0,0,1,0,1.1,38,67,80
Scott McTominay,Scotland,MF,Manchester Utd,28.0,1996.0,2,0,19,0,0,0,0,0,0,0.1,0,1,2
Ben Mee,England,DF,Brentford,35.0,1989.0,7,2,183,0,0,0,0,2,0,0.0,3,11,2
Jayden Meghoma,England,DF,Brentford,18.0,2006.0,1,0,5,0,0,0,0,0,0,0.0,0,0,0
Mikel Merino,Spain,"MF,FW",Arsenal,28.0,1996.0,27,16,1496,7,2,0,0,4,1,5.6,10,67,92
Shumaira Mheuka,England,MF,Chelsea,17.0,2007.0,1,0,1,0,0,0,0,0,0,0.1,0,0,0
Nikola Milenković,Serbia,DF,Nott'ham Forest,27.0,1997.0,36,36,3240,5,2,0,0,4,0,3.9,3,50,6
Lewis Miley,England,MF,Newcastle Utd,19.0,2006.0,14,1,313,1,0,0,0,0,0,0.5,2,17,8
James Milner,England,MF,Brighton,39.0,1986.0,3,3,169,0,0,0,0,1,0,0.2,1,10,10
Tyrone Mings,England,DF,Aston Villa,32.0,1993.0,14,12,1120,0,0,0,0,1,0,0.8,7,40,1
Yankuba Minteh,Gambia,"FW,MF",Brighton,20.0,2004.0,31,19,1749,6,4,0,0,6,0,4.0,85,44,183
Tyrick Mitchell,England,DF,Crystal Palace,25.0,1999.0,36,36,3002,0,4,0,0,2,0,1.3,56,66,169
Kaoru Mitoma,Japan,"FW,MF",Brighton,28.0,1997.0,35,28,2558,10,3,0,0,1,0,9.2,140,84,282
Jakub Moder,Poland,MF,Brighton,26.0,1999.0,4,0,11,0,0,0,0,0,0,0.0,2,4,0
Jeremy Monga,,"FW,MF",Leicester City,,,6,0,93,0,0,0,0,0,0,0.2,6,3,10
Mikey Moore,England,FW,Tottenham,17.0,2007.0,10,3,366,0,1,0,0,0,0,0.2,12,9,40
Morato,Brazil,DF,Nott'ham Forest,23.0,2001.0,26,6,907,0,0,0,0,5,0,0.2,1,19,1
Álex Moreno,Spain,"DF,MF",Nott'ham Forest,31.0,1993.0,15,11,955,0,1,0,0,2,0,0.2,26,34,34
Sam Morsy,Egypt,MF,Ipswich Town,33.0,1991.0,32,30,2664,1,1,0,0,10,0,0.4,19,113,11
Yerson Mosquera,Colombia,DF,Wolves,24.0,2001.0,5,5,441,0,0,0,0,2,0,0.3,0,7,0
Mason Mount,England,MF,Manchester Utd,26.0,1999.0,16,7,557,1,0,0,0,3,0,2.5,14,29,33
Divin Mubama,England,FW,Manchester City,20.0,2004.0,1,0,28,0,0,0,0,0,0,0.0,0,1,0
Mykhailo Mudryk,Ukraine,FW,Chelsea,24.0,2001.0,7,1,151,0,0,0,0,0,0,0.3,7,5,12
Marshall Munetsi,Zimbabwe,"MF,FW",Wolves,28.0,1996.0,13,11,992,1,1,0,0,0,0,3.2,8,9,29
Rodrigo Muniz,Brazil,FW,Fulham,24.0,2001.0,31,8,964,8,1,0,0,1,0,5.8,6,27,31
Daniel Muñoz,Colombia,DF,Crystal Palace,28.0,1996.0,36,36,3138,4,5,0,0,10,0,4.9,60,96,204
Arijanet Muric,Kosovo,GK,Ipswich Town,26.0,1998.0,18,18,1620,0,0,0,0,1,0,0.0,0,1,0
Murillo,Brazil,DF,Nott'ham Forest,22.0,2002.0,35,35,3098,2,0,0,0,6,0,1.4,20,106,5
Jacob Murphy,England,FW,Newcastle Utd,30.0,1995.0,34,30,2291,8,12,0,0,4,0,5.7,76,80,228
Vitaliy Mykolenko,Ukraine,DF,Everton,25.0,1999.0,34,34,2992,1,1,0,0,3,0,0.5,33,110,98
Iliman Ndiaye,Senegal,FW,Everton,25.0,2000.0,32,28,2356,9,0,2,2,3,0,6.2,83,58,120
Wilfred Ndidi,Nigeria,MF,Leicester City,28.0,1996.0,28,28,2324,0,5,0,0,8,0,2.0,18,70,75
Kosta Nedeljković,Serbia,DF,Aston Villa,19.0,2005.0,5,0,126,0,0,0,0,0,0,0.0,1,6,0
Reiss Nelson,England,FW,Arsenal,25.0,1999.0,1,0,3,0,0,0,0,0,0,0.0,0,0,0
Reiss Nelson,England,FW,Fulham,25.0,1999.0,11,5,487,1,1,0,0,1,0,1.1,45,35,63
Neto,Brazil,GK,Bournemouth,35.0,1989.0,2,2,180,0,0,0,0,0,0,0.0,0,0,0
Pedro Neto,Portugal,FW,Chelsea,25.0,2000.0,34,23,2192,4,5,0,0,8,0,3.2,123,60,250
Eddie Nketiah,England,"FW,MF",Crystal Palace,25.0,1999.0,28,9,1005,3,1,0,0,6,1,5.5,41,19,76
Christopher Nkunku,France,FW,Chelsea,27.0,1997.0,27,9,921,3,2,0,0,2,0,4.8,17,25,68
Gustavo Nunes,Brazil,"FW,MF",Brentford,19.0,2005.0,3,0,12,0,0,0,0,0,0,0.0,1,0,0
Matheus Nunes,Portugal,"DF,MF",Manchester City,26.0,1998.0,25,18,1584,1,6,0,0,4,0,0.9,60,74,161
Darwin Núñez,Uruguay,FW,Liverpool,25.0,1999.0,29,8,1103,5,2,0,0,8,0,5.3,23,27,76
Ethan Nwaneri,England,"FW,MF",Arsenal,18.0,2007.0,25,10,821,4,2,0,0,1,0,1.1,44,30,102
Christian Nørgaard,Denmark,MF,Brentford,31.0,1994.0,33,33,2729,5,3,0,0,8,1,4.2,14,146,40
Jake O'Brien,Republic of Ireland,DF,Everton,24.0,2001.0,19,16,1481,2,0,0,0,5,0,0.8,7,49,25
Matt O'Riley,Denmark,MF,Brighton,24.0,2000.0,20,11,923,1,2,0,0,1,0,2.0,22,38,52
Dara O'Shea,Republic of Ireland,DF,Ipswich Town,26.0,1999.0,34,34,3032,0,2,0,0,6,0,1.3,3,76,8
Chidozie Obi-Martin,Denmark,FW,Manchester Utd,17.0,2007.0,6,1,155,0,0,0,0,1,0,0.6,2,1,12
Wilson Odobert,France,"FW,MF",Tottenham,20.0,2004.0,15,9,805,1,0,0,0,0,0,1.6,44,26,66
Chiedozie Ogbene,Republic of Ireland,FW,Ipswich Town,28.0,1997.0,5,3,238,0,0,0,0,0,0,0.0,7,0,15
Caleb Okoli,Italy,DF,Leicester City,23.0,2001.0,19,12,1125,1,0,0,0,4,0,0.6,3,32,2
Robin Olsen,Sweden,GK,Aston Villa,35.0,1990.0,3,1,180,0,0,0,0,0,0,0.0,0,0,0
Amadou Onana,Belgium,MF,Aston Villa,23.0,2001.0,25,19,1555,3,0,0,0,4,0,2.1,26,72,16
André Onana,Cameroon,GK,Manchester Utd,29.0,1996.0,34,34,3060,0,0,0,0,0,0,0.0,0,1,0
Paul Onuachu,Nigeria,FW,Southampton,30.0,1994.0,24,11,1029,4,1,0,0,4,0,3.6,7,13,40
Frank Onyeka,Nigeria,MF,Brentford,27.0,1998.0,2,0,25,0,0,0,0,0,0,0.0,0,1,0
Lewis Orford,England,MF,West Ham,19.0,2006.0,2,0,49,0,0,0,0,0,0,0.0,0,0,1
Stefan Ortega,Germany,GK,Manchester City,32.0,1992.0,13,12,1100,0,0,0,0,1,0,0.0,0,0,0
William Osula,Denmark,FW,Newcastle Utd,21.0,2003.0,13,0,131,1,0,0,0,0,0,0.1,3,2,15
Dango Ouattara,Burkina Faso,FW,Bournemouth,23.0,2002.0,32,21,2005,7,4,0,0,3,0,8.4,79,43,191
Nico O’Reilly,England,DF,Manchester City,20.0,2005.0,9,6,528,2,0,0,0,0,0,1.3,16,17,26
Alex Palmer,England,GK,Ipswich Town,28.0,1996.0,13,13,1170,0,0,0,0,2,0,0.0,0,1,0
Cole Palmer,England,MF,Chelsea,23.0,2002.0,36,35,3101,15,8,4,5,7,0,17.2,118,212,182
Emerson Palmieri,Italy,DF,West Ham,30.0,1994.0,31,26,2113,2,1,0,0,5,0,2.0,47,66,83
Lucas Paquetá,Brazil,"MF,FW",West Ham,27.0,1997.0,32,27,2369,4,0,2,2,10,0,5.3,26,155,85
Thomas Partey,Ghana,"MF,DF",Arsenal,31.0,1993.0,34,30,2707,4,2,0,0,4,0,2.3,35,176,48
Nathan Patterson,Scotland,DF,Everton,23.0,2001.0,10,3,347,0,1,0,0,1,0,0.1,6,13,18
Andreas Pereira,Brazil,MF,Fulham,29.0,1996.0,32,24,1953,2,4,0,1,7,0,3.5,29,103,80
Ricardo Pereira,Portugal,DF,Leicester City,31.0,1993.0,9,4,369,0,0,0,0,1,0,0.1,3,15,5
Kalvin Phillips,England,MF,Ipswich Town,29.0,1995.0,19,14,1237,0,0,0,0,6,1,0.4,4,51,4
Jaden Philogene Bidace,England,"FW,MF",Aston Villa,23.0,2002.0,11,2,332,0,0,0,0,4,1,0.5,7,4,17
Jaden Philogene Bidace,England,"FW,DF",Ipswich Town,23.0,2002.0,10,5,474,2,0,0,0,1,0,2.0,13,10,36
Jordan Pickford,England,GK,Everton,31.0,1994.0,37,37,3330,0,1,0,0,7,0,0.0,0,0,0
Ethan Pinnock,Jamaica,DF,Brentford,31.0,1993.0,22,21,1913,2,0,0,0,2,0,1.1,3,41,9
Daniel Podence,Portugal,"MF,FW",Wolves,29.0,1995.0,2,0,48,0,0,0,0,0,0,0.0,1,2,3
Alfie Pond,England,DF,Wolves,21.0,2004.0,1,0,1,0,0,0,0,0,0,0.0,0,0,0
Nick Pope,England,GK,Newcastle Utd,33.0,1992.0,27,27,2430,0,0,0,0,2,0,0.0,0,1,0
Pedro Porro,Spain,DF,Tottenham,25.0,1999.0,32,27,2520,2,6,0,0,4,0,1.6,64,152,107
Jarell Quansah,England,DF,Liverpool,22.0,2003.0,13,4,495,0,0,0,0,2,0,0.1,3,19,4
Hákon Rafn Valdimarsson,Iceland,GK,Brentford,23.0,2001.0,2,1,145,0,0,0,0,0,0,0.0,0,0,0
Aaron Ramsdale,England,GK,Southampton,27.0,1998.0,29,29,2610,0,0,0,0,2,0,0.0,0,0,0
Jacob Ramsey,England,"FW,MF",Aston Villa,23.0,2001.0,28,19,1595,1,3,0,0,4,1,1.6,60,68,110
Marcus Rashford,England,"FW,MF",Manchester Utd,27.0,1997.0,15,12,978,4,1,0,0,2,0,1.7,20,21,79
Marcus Rashford,England,FW,Aston Villa,27.0,1997.0,10,4,444,2,2,1,1,0,0,3.1,22,13,42
David Raya,Spain,GK,Arsenal,29.0,1995.0,37,37,3330,0,0,0,0,3,0,0.0,0,14,0
Harrison Reed,England,MF,Fulham,30.0,1995.0,12,0,108,0,0,0,0,2,0,0.2,1,4,7
Remy Rees-Dottin,England,FW,Bournemouth,19.0,2006.0,1,0,1,0,0,0,0,0,0,0.0,0,0,0
Sergio Reguilón,Spain,DF,Tottenham,28.0,1996.0,4,1,196,0,0,0,0,2,0,0.1,5,13,12
Vitor Reis,Brazil,DF,Manchester City,19.0,2006.0,1,0,1,0,0,0,0,0,0,0.0,0,0,0
Chadi Riad,Morocco,DF,Crystal Palace,21.0,2003.0,1,1,90,0,0,0,0,0,0,0.0,2,7,0
Declan Rice,England,MF,Arsenal,26.0,1999.0,34,32,2735,4,7,0,0,7,1,3.4,90,183,93
Chris Richards,United States,DF,Crystal Palace,25.0,2000.0,23,21,1832,1,0,0,0,4,1,1.3,6,38,2
Richarlison,Brazil,FW,Tottenham,28.0,1997.0,14,4,479,4,1,0,0,2,0,3.7,8,11,22
Andrew Robertson,Scotland,DF,Liverpool,31.0,1994.0,32,28,2398,0,1,0,0,3,1,1.2,62,167,97
Antonee Robinson,United States,DF,Fulham,27.0,1997.0,35,34,3077,0,10,0,0,8,0,0.7,117,127,269
Jay Robinson,England,"FW,MF",Southampton,18.0,2007.0,3,0,59,0,0,0,0,0,0,0.0,2,1,6
Rodri,Spain,MF,Manchester City,28.0,1996.0,3,1,73,0,0,0,0,0,0,0.0,1,4,1
Guido Rodríguez,Argentina,MF,West Ham,31.0,1994.0,22,16,1138,0,0,0,0,6,0,0.2,3,32,6
Mads Roerslev,Denmark,DF,Brentford,25.0,1999.0,19,11,1101,0,2,0,0,2,0,0.2,17,51,54
Morgan Rogers,England,"FW,MF",Aston Villa,22.0,2002.0,36,36,3031,8,10,0,0,9,0,6.6,114,122,187
Cristian Romero,Argentina,DF,Tottenham,27.0,1998.0,18,18,1416,1,0,0,0,3,0,1.6,12,71,3
Georginio Rutter,France,"MF,FW",Brighton,23.0,2002.0,28,19,1656,5,3,0,0,2,0,4.6,42,67,79
José Sá,Portugal,GK,Wolves,32.0,1993.0,28,28,2520,0,0,0,0,2,0,0.0,0,2,0
Bukayo Saka,England,"FW,MF",Arsenal,23.0,2001.0,24,20,1701,6,10,1,1,3,0,6.8,94,67,247
Mohamed Salah,Egypt,FW,Liverpool,32.0,1992.0,37,37,3281,28,18,9,9,1,0,24.8,153,140,470
William Saliba,France,DF,Arsenal,24.0,2001.0,35,35,3039,2,0,0,0,2,1,2.3,16,138,6
Robert Sánchez,Spain,GK,Chelsea,27.0,1997.0,31,31,2790,0,0,0,0,5,0,0.0,0,1,0
Jadon Sancho,England,FW,Chelsea,25.0,2000.0,30,18,1703,3,4,0,0,2,0,2.2,100,88,221
Ibrahim Sangaré,Cote dIvoire,MF,Nott'ham Forest,27.0,1997.0,12,6,534,0,1,0,0,3,0,0.0,1,24,3
Pablo Sarabia,Spain,"MF,FW",Wolves,33.0,1992.0,23,7,814,3,2,0,0,3,0,2.9,15,60,62
Jeremy Sarmiento,Ecuador,MF,Brighton,22.0,2002.0,1,0,9,0,0,0,0,0,0,0.0,0,0,2
Ismaila Sarr,Senegal,MF,Crystal Palace,27.0,1998.0,37,29,2621,7,6,0,0,4,0,10.1,72,84,179
Sávio,Brazil,"FW,MF",Manchester City,21.0,2004.0,28,21,1749,1,8,0,0,3,0,5.0,135,66,244
Oliver Scarles,England,DF,West Ham,19.0,2005.0,14,6,594,0,0,0,0,1,0,0.1,11,21,39
